Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
Treatment of adult patients with relapsed or refractory classical Hodgkin lymphoma (cHL) after autologous stem cell transplant and treatment with brentuximab vedotin.,<Hodgkin Disease>,,Treatment of patients with relapsed or refractory classical Hodgkin lymphoma (cHL) following autologous stem cell transplant and treatment with brentuximab vedotin or following at least two prior therapies in patients who are not candidates for ASCT.,<Hodgkin Disease>,,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,
Treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture; Treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture,<Osteoporosis>,,Treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture; Treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture,<Osteoporosis>,,Sun Pharmaceutical Industries Europe B.V.,Sun,
,Not Reported,,monotherapy for the treatment of adult patients with relapsed or refractory marginal zone lymphoma (MZL),<Marginal Zone Lymphoma>,,Incyte Biosciences Distribution B.V.,Incyte,
For the treatment of patients with metastatic castration-resistant prostate cancer following failure of androgen deprivation therapy in whom chemotherapy is not yet indicated.,<Prostatic Neoplasms>,,The treatment of patients with metastatic castration-resistant prostate cancer who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated.,<Prostatic Neoplasms>,,Astellas Pharma Australia Pty Ltd,Astellas,
Prevention of nausea and vomiting associated with initial and repeat courses of highly and moderately emetogenic cancer chemotherapy in adults,<Neoplasms>,,Prevention of nausea and vomiting associated with initial and repeat courses of highly and moderately emetogenic cancer chemotherapy in adults,<Neoplasms>,,Tesaro UK Limited,Tesaro,
prevention of Clostridium difficile infection (CDI) recurrence in patients 18 years or older receiving antibiotic therapy for CDI,<Clostridium Infections>,,prevention of Clostridium difficile infection (CDI) recurrence in patients 18 years or older receiving antibiotic therapy for CDI,<Clostridium Infections>,,Merck Sharp & Dohme Limited,Merck Sharp & Dohme,
Preoperative skin preparation at the surgical site,Not Reported,,Preoperative skin preparation at the surgical site,Not Reported,,"Otsuka Pharmaceutical Factory, Inc.",Otsuka,
"Treatment of adult patients with advanced gastrointestinal stromal tumours (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<Gastrointestinal Stromal Tumors>,,"Treatment of adult patients with advanced gastrointestinal stromal tumours (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<Stromal Tumors>,,TudorRose Consulting Pty Ltd,TudorRose,
Central precocious puberty (CPP),<Central Precocious Puberty>,,Central precocious puberty (CPP),<Precocious Puberty>,,Mundipharma Pty Ltd,Mundipharma,
Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<Seizures>,,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<Seizures>,,"Kyowa Hakko Kogyo Co., Ltd.",Kyowa Hakko Kogyo,
Ritonavir is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infected patients (adults and children of 2 years of age and older).,<HIV Infections>,,Ritonavir is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infected patients (adults and children of 2 years of age and older).,<HIV Infections>,,MYLAN S.A.S.,Mylan,
"Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/636045/2022"",
    ""Procedure_number"": ""EMEA/H/C/005534/0000"",
    ""Drug_name"": ""Vegzelma"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Celltrion Healthcare Hungary Kft."",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""Concentrate for solution for infusion"",
    ""Administration_route"": ""Intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""23.06.2022"",
    ""Decision_year"": ""2022"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. Vegzelma in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Vegzelma, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in","Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/636045/2022"",
    ""Procedure_number"": ""EMEA/H/C/005534/0000"",
    ""Drug_name"": ""Vegzelma"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Celltrion Healthcare Hungary Kft."",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""Concentrate for solution for infusion"",
    ""Administration_route"": ""Intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""23.06.2022"",
    ""Decision_year"": ""2022"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. Vegzelma in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Vegzelma, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in",,"Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/636045/2022"",
    ""Procedure_number"": ""EMEA/H/C/005534/0000"",
    ""Drug_name"": ""Vegzelma"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Celltrion Healthcare Hungary Kft."",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""Concentrate for solution for infusion"",
    ""Administration_route"": ""Intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""23.06.2022"",
    ""Decision_year"": ""2022"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. Vegzelma in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Vegzelma, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in","Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/636045/2022"",
    ""Procedure_number"": ""EMEA/H/C/005534/0000"",
    ""Drug_name"": ""Vegzelma"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Celltrion Healthcare Hungary Kft."",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""Concentrate for solution for infusion"",
    ""Administration_route"": ""Intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""23.06.2022"",
    ""Decision_year"": ""2022"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. Vegzelma in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Vegzelma, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in",,"Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/636045/2022"",
    ""Procedure_number"": ""EMEA/H/C/005534/0000"",
    ""Drug_name"": ""Vegzelma"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Celltrion Healthcare Hungary Kft."",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""Concentrate for solution for infusion"",
    ""Administration_route"": ""Intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""23.06.2022"",
    ""Decision_year"": ""2022"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. Vegzelma in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Vegzelma, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in","Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/636045/2022"",
    ""Procedure_number"": ""EMEA/H/C/005534/0000"",
    ""Drug_name"": ""Vegzelma"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Celltrion Healthcare Hungary Kft."",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""Concentrate for solution for infusion"",
    ""Administration_route"": ""Intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""23.06.2022"",
    ""Decision_year"": ""2022"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. Vegzelma in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Vegzelma, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Vegzelma in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Vegzelma in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Vegzelma in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Vegzelma, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer (NSCLC) other than predominantly squamous cell histology. Vegzelma, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations. Vegzelma, in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Vegzelma, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Vegzelma, in combination with carboplatin and gemcitabine or in",
,Not Reported,,Monotherapy and adjunctive therapy for various types of seizures in epilepsy,<Epilepsy>,,Neuraxpharm Pharmaceuticals S.L.,Neuraxpharm,
treatment of essential hypertension,<Hypertension>,,treatment of essential hypertension,<Hypertension>,,Not reported,Not Reported,
"Treatment of adult patients with relapsed or refractory large B-cell lymphoma including diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma (PMBCL) and follicular lymphoma grade 3B (FL3B) after at least two prior therapies.",<Large B-Cell Lymphoma>; <Diffuse Large B-Cell Lymphoma>; <Primary Mediastinal Large B-Cell Lymphoma>; <Follicular Lymphoma>,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma including diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma (PMBCL) and follicular lymphoma grade 3B (FL3B) after at least two prior therapies.",<Large B-Cell Lymphoma>; <Diffuse Large B-Cell Lymphoma>; <Primary Mediastinal Large B-Cell Lymphoma>; <Follicular Lymphoma>,,Bristol-Myers Squibb Pharma EEIG,Bristol-Myers Squibb,
,Not Reported,,Monotherapy for metastatic breast cancer with increased cardiac risk; treatment of advanced ovarian cancer after failure of first-line platinum-based chemotherapy; combination with bortezomib for progressive multiple myeloma; treatment of AIDS-related Kaposi's sarcoma.,<Breast Neoplasms>; <Ovarian Neoplasms>; <Multiple Myeloma>; <Kaposi's Sarcoma>,,Tillomed,Tillomed,
"Active immunisation for the prevention of disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F (including invasive disease, pneumonia and acute otitis media) in infants and children from 6 weeks up to 5 years of age. Active immunisation for the prevention of pneumococcal disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F in adults aged 50 years and older.",<Pneumococcal Infections>; <Pneumonia>; <Otitis Media>,,"Active immunisation for the prevention of pneumococcal disease (including pneumonia and invasive disease) caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F in adults aged 50 years and older.",<Pneumococcal Infections>; <Pneumonia>,,Pfizer Australia Pty Ltd,Pfizer,
Skyclarys is indicated for the treatment of Friedreich's ataxia in adults and adolescents aged 16 years and older.,<Friedreich Ataxia>,,Skyclarys is indicated for the treatment of Friedreich’s ataxia in adults and adolescents aged 16 years and older.,<Friedreich Ataxia>,,Biogen Switzerland AG,Biogen,
prophylaxis of influenza in an officially declared pandemic situation,<Influenza>,,prophylaxis of influenza in an officially declared pandemic situation,<Influenza>,,GlaxoSmithKline Biologicals,GlaxoSmithKline,
