Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
lytenava-epar-public-assessment-report_en.pdf,EMA/146883/2024,EMEA/H/C/005723/0000,Lytenava,Bevacizumab gamma,Outlook Therapeutics Limited,Biologics,solution for intravitreal injection,intravitreal,approved,authorised,21.03.2024,2024,no,no,Treatment of neovascular (wet) age-related macular degeneration (nAMD),Treatment of neovascular (wet) age-related macular degeneration (nAMD),Diseases of the eye and adnexa,27.11.2022,2022,no,NA
nutropinaq-epar-scientific-discussion_en.pdf,Not reported,Not reported,NutropinAq,somatropin,Not reported,Peptides and proteins,solution for subcutaneous administration,subcutaneous,approved,authorised,Not reported,Not reported,no,no,Long-term treatment of children with growth failure due to inadequate endogenous growth hormone secretion; Long-term treatment of growth failure associated with Turner syndrome; Treatment of prepubertal children with growth failure associated with chronic renal insufficiency up to the time of renal transplantation; Replacement of endogenous growth hormone in adults with growth hormone deficiency of either childhood or adult-onset etiology.,Long-term treatment of children with growth failure due to inadequate endogenous growth hormone secretion; Long-term treatment of growth failure associated with Turner syndrome; Treatment of prepubertal children with growth failure associated with chronic renal insufficiency up to the time of renal transplantation; Replacement of endogenous growth hormone in adults with growth hormone deficiency of either childhood or adult-onset etiology.,"Endocrine, nutritional, and metabolic diseases; Diseases of the genitourinary system; Congenital malformations and chromosomal abnormalities",Not reported,Not reported,no,NA
tibsovo-epar-public-assessment-report_en.pdf,EMA/173654/2023,EMEA/H/C/005936/0000,Tibsovo,ivosidenib,Les Laboratoires Servier,Small molecule,film-coated tablet,oral,approved,authorised,23.02.2023,2023,yes,no,Tibsovo monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an IDH1 mutation who were previously treated by at least one prior line of systemic therapy.,Tibsovo monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an IDH1 R132 mutation who were previously treated by at least one prior line of systemic therapy.,Neoplasms; Diseases of the digestive system,03.03.2022,2022,no,NA
litak-epar-scientific-discussion_en.pdf,Not reported,Not reported,Litak,cladribine,Lipomed,Small molecule,solution for injection,subcutaneous,approved,authorised,Not reported,Not reported,yes,no,first-line treatment of hairy cell leukaemia,first-line treatment of hairy cell leukaemia,Neoplasms; Diseases of the blood and blood-forming organs,Not reported,Not reported,yes,Not reported
fabhalta-public-assessment-report_en.pdf,EMA/170439/2024,EMEA/H/C/005764/0000,Fabhalta,iptacopan,Novartis Europharm Limited,Small molecule,hard capsule,oral,approved,authorised,21.03.2024,2024,yes,no,"treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH) who have haemolysis with clinical symptom(s), or who are anaemic after treatment with a complement inhibitor.",monotherapy in the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH) who have haemolytic anaemia.,Diseases of the blood and blood-forming organs,21.04.2023,2023,no,NA
darunavir-mylan-epar-public-assessment-report_en.pdf,EMA/851324/2016,EMEA/H/C/004068/0000,Darunavir Mylan,darunavir,MYLAN S.A.S.,Small molecule,film-coated tablet,oral,approved,authorised,10.11.2016,2016,no,no,Treatment of patients with human immunodeficiency virus (HIV-1) infection,Treatment of patients with human immunodeficiency virus (HIV-1) infection,Infectious and parasitic diseases,31.07.2015,2015,yes,Not reported
ibuprofen-genorph-epar-public-assessment-report_en.pdf,EMA/586586/2023,EMEA/H/C/006129/0000,Ibuprofen Gen.Orph,Ibuprofen,Gen.Orph,Small molecule,solution for injection,intravenous,approved,authorised,14.12.2023,2023,no,no,Treatment of a haemodynamically significant patent ductus arteriosus in preterm newborn infants less than 34 weeks of gestational age.,Treatment of a haemodynamically significant patent ductus arteriosus in preterm newborn infants less than 34 weeks of gestational age.,Diseases of the circulatory system; Congenital malformations and chromosomal abnormalities,09.11.2022,2022,yes,Not reported
arsenic-trioxide-accord-epar-public-assessment-report_en.pdf,EMA/CHMP/580349/2019,EMEA/H/C/005175/0000,Arsenic trioxide Accord,arsenic trioxide,Accord Healthcare S.L.U.,Small molecule,Concentrate for solution for infusion,Intravenous,approved,authorised,19.09.2019,2019,no,no,"Induction of remission, and consolidation in adult patients with newly diagnosed low-to-intermediate risk acute promyelocytic leukaemia (APL) in combination with all-trans-retinoic acid (ATRA) and relapsed/refractory acute promyelocytic leukaemia (APL)","Induction of remission, and consolidation in adult patients with newly diagnosed low-to-intermediate risk acute promyelocytic leukaemia (APL) in combination with all-trans-retinoic acid (ATRA) and relapsed/refractory acute promyelocytic leukaemia (APL)",Neoplasms; Diseases of the blood and blood-forming organs,26.11.2018,2018,yes,Not reported
ketoconazole-hra-epar-public-assessment-report_en.pdf,EMA/CHMP/534845/2014,EMEA/H/C/003906/0000,Ketoconazole HRA,KETOCONAZOLE HRA,Laboratoire HRA Pharma,Small molecule,uncoated tablets,oral,approved,authorised,25.09.2014,2014,yes,no,Treatment of Cushing’s syndrome,Treatment of endogenous Cushing’s syndrome,"Endocrine, nutritional, and metabolic diseases",05.02.2014,2014,yes,Not reported
pavblu-epar-public-assessment-report_en.pdf,EMA/90425/2025,EMEA/H/C/006339/0000,Pavblu,aflibercept,Amgen Technology (Ireland) Unlimited Company,Biologics,solution for intravitreal injection,intravitreal,approved,authorised,30.01.2025,2025,no,no,neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),Diseases of the eye and adnexa,08.02.2024,2024,no,NA
xalkori-epar-public-assessment-report_en.pdf,EMA/CHMP/497137/2012,EMEA/H/C/002489,XALKORI,crizotinib,Pfizer Ltd.,Small molecule,"Capsule, hard",Oral,conditional marketing authorisation,authorised,19.07.2012,2012,no,no,treatment of previously treated anaplastic lymphoma kinase (ALK)-positive advanced non-small cell lung cancer (NSCLC),treatment of adults with previously treated anaplastic lymphoma kinase (ALK)-positive advanced non-small cell lung cancer (NSCLC),Neoplasms; Diseases of the respiratory system,28.07.2011,2011,no,NA
ayvakyt-epar-public-assessment-report_en.pdf,EMA/451735/2020,EMEA/H/C/005208/0000,AYVAKYT,avapritinib,Blueprint Medicines (Netherlands) B.V.,Small molecule,film coated tablets,oral,approved,authorised,23.07.2020,2020,yes,no,"treatment of adult patients with unresectable or metastatic GIST who have been treated with at least 3 prior lines of therapy and treatment of adult patients with unresectable or metastatic gastrointestinal stromal tumours (GIST) harbouring the platelet-derived growth factor receptor alpha (PDGFRA) D842V mutation, regardless of prior therapy.",treatment of adult patients with unresectable or metastatic gastrointestinal stromal tumours (GIST) harbouring the platelet-derived growth factor receptor alpha (PDGFRA) D842V mutation.,Neoplasms; Diseases of the digestive system,01.07.2019,2019,no,NA
eltrombopag-accord-epar-public-assessment-report_en.pdf,EMA/55246/2025,EMEA/H/C/006459/0000,Eltrombopag Accord,eltrombopag,Accord Healthcare S.L.U.,Small molecule,film-coated tablet,oral,approved,authorised,30.01.2025,2025,no,no,Treatment of adult patients with primary immune thrombocytopenia (ITP) who are refractory to other treatments; treatment of paediatric patients aged 1 year and above with primary immune thrombocytopenia (ITP) lasting 6 months or longer from diagnosis and who are refractory to other treatments; treatment of thrombocytopenia in adult patients with chronic hepatitis C virus (HCV) infection where the degree of thrombocytopenia is the main factor preventing the initiation or limiting the ability to maintain optimal interferon-based therapy.,Treatment of adult patients with primary immune thrombocytopenia (ITP) who are refractory to other treatments; treatment of paediatric patients aged 1 year and above with primary immune thrombocytopenia (ITP) lasting 6 months or longer from diagnosis and who are refractory to other treatments; treatment of thrombocytopenia in adult patients with chronic hepatitis C virus (HCV) infection where the degree of thrombocytopenia is the main factor preventing the initiation or limiting the ability to maintain optimal interferon-based therapy.,Diseases of the blood and blood-forming organs; Infectious and parasitic diseases,11.03.2024,2024,yes,NA
xeloda-epar-scientific-discussion_en.pdf,EMA/000220/2001,EMEA/H/C/000220,Xeloda,capecitabine,Roche Registration Limited,Small molecule,tablet,oral,approved,authorised,02.02.2001,2001,no,yes,First line monotherapy of metastatic colorectal cancer,First line monotherapy of metastatic colorectal cancer; combination therapy with docetaxel in metastatic breast cancer; monotherapy in metastatic breast cancer after failure of taxanes and anthracycline,Neoplasms; Diseases of the digestive system,Not reported,Not reported,no,NA
invokana-epar-public-assessment-report_en.pdf,EMA/374133/2013,EMEA/H/C/002649/0000,Invokana,Canagliflozin,Janssen-Cilag International N.V.,Small molecule,Film-coated tablet,Oral,approved,authorised,19.09.2013,2013,no,no,Invokana is indicated in adults with type 2 diabetes mellitus to improve glycaemic control as monotherapy or add-on therapy.,Invokana is indicated in adults aged 18 years and older with type 2 diabetes mellitus to improve glycaemic control as monotherapy or add-on therapy.,"Endocrine, nutritional, and metabolic diseases",22.06.2012,2012,no,NA
withdrawal-assessment-report-linhaliq_en.pdf,Not reported,EMEA/H/C/4394,Linhaliq,ciprofloxacin hydrochloride,Not reported,Small molecule,nebuliser solution,inhalation,withdrawn,withdrawn,30.10.2019,2019,no,no,prevention and reduction of frequent pulmonary exacerbations in non-cystic fibrosis bronchiectasis adult patients who have chronic lung infection with Pseudomonas aeruginosa,NA,Diseases of the respiratory system; Infectious and parasitic diseases,Not reported,Not reported,no,NA
tuznue-epar-public-assessment-report_en.pdf,EMA/367870/2024,EMEA/H/C/006252/0000,Tuznue,trastuzumab,Prestige Biopharma Belgium,Biologics,powder for concentrate for solution for infusion,intravenous,approved,authorised,25.07.2024,2024,no,no,Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,Neoplasms; Diseases of the digestive system,31.07.2023,2023,yes,Not reported
zoledronic-acid-actavis-epar-public-assessment-report_en.pdf,EMA/225612/2012,EMEA/H/C/002488,Zoledronic acid Actavis,zoledronic acid,Actavis Group PTC ehf,Small molecule,concentrate for solution for infusion,intravenous,approved,authorised,16.02.2012,2012,no,no,"Prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in patients with advanced malignancies involving bone. Treatment of tumour-induced hypercalcaemia (TIH).","Prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in patients with advanced malignancies involving bone. Treatment of tumour-induced hypercalcaemia (TIH).",Neoplasms; Diseases of the musculoskeletal system and connective tissue,10.05.2011,2011,yes,Not reported
takhzyro-epar-public-assessment-report_en.pdf,EMA/794314/2018,EMEA/H/C/004806/0000,TAKHZYRO,lanadelumab,Shire Pharmaceuticals Ireland Limited,Biologics,solution for injection,subcutaneous,approved,authorised,18.10.2018,2018,yes,no,routine prevention of angioedema attacks and the control of symptoms of hereditary angioedema (HAE) in patients aged 12 years and older,routine prevention of angioedema attacks and the control of symptoms of hereditary angioedema (HAE) in patients aged 12 years and older,Diseases of the blood and blood-forming organs,12.03.2018,2018,no,NA
intrarosa-epar-public-assessment-report_en.pdf,EMA/793337/2017,EMEA/H/C/004138/0000,Intrarosa,prasterone,Endoceutics Ltd.,Small molecule,vaginal pessaries,vaginal,approved,authorised,09.11.2017,2017,no,no,treatment of vulvovaginal atrophy in postmenopausal women,treatment of vulvar and vaginal atrophy in postmenopausal women having moderate to severe symptoms,Diseases of the genitourinary system,18.12.2015,2015,no,NA
imvanex-epar-public-assessment-report_en.pdf,EMA/369203/2013,EMEA/H/C/002596,IMVANEX,Modified Vaccinia Ankara virus,Bavarian Nordic A/S,Vaccine,suspension for injection,subcutaneous,approved,authorised,30.05.2013,2013,no,no,Active immunisation against smallpox infection and disease in persons 18 years of age and older.,Active immunisation against smallpox infection and disease in persons 18 years of age and older.,Infectious and parasitic diseases,29.02.2012,2012,no,NA
vantobra-epar-public-assessment-report_en.pdf,EMA/86872/2015,EMEA/H/C/002633/0000,VANTOBRA,tobramycin,PARI Pharma GmbH,Antibiotics,nebuliser solution,inhalation,withdrawn,withdrawn,22.01.2015,2015,yes,no,management of chronic pulmonary infection due to Pseudomonas aeruginosa in patients aged 6 years and older with cystic fibrosis,NA,Infectious and parasitic diseases; Diseases of the respiratory system,26.07.2012,2012,no,NA
clopidogrel-teva-generics-bv-epar-public-assessment-report_en.pdf,EMA/CHMP/621360/2010,Not reported,Clopidogrel Teva Generics B.V.,clopidogrel,Teva Pharma B.V.,Small molecule,film-coated tablet,oral,approved,withdrawn,22.07.2010,2010,no,no,"Prevention of atherothrombotic events in patients with myocardial infarction, ischaemic stroke, or established peripheral arterial disease; acute coronary syndrome","Prevention of atherothrombotic events in patients with myocardial infarction, ischaemic stroke, or established peripheral arterial disease; acute coronary syndrome",Diseases of the circulatory system,06.05.2010,2010,yes,CHMP
refacto-af-epar-scientific-discussion_en.pdf,EMA/232/1998,EMEA/H/C/232,ReFacto,moroctocog alfa,Wyeth,Biologics,powder and solvent for solution for injection,intravenous,approved,authorised,17.12.1998,1998,no,no,treatment of hemophilia A (congenital factor VIII deficiency or classic hemophilia) and prevention of bleeding (prophylaxis),treatment of hemophilia A (congenital factor VIII deficiency or classic hemophilia) and prevention of bleeding (prophylaxis),Diseases of the blood and blood-forming organs,Not reported,Not reported,no,NA
vorinostat-msd-withdrawal-assessment-report_en.pdf,Not reported,EMEA/H/C/947,Vorinostat MSD 100 mg hard capsules,Vorinostat,Not reported,Small molecule,hard capsules,oral,withdrawn,withdrawn,23.10.2008,2008,yes,no,"treatment of patients with advanced cutaneous T cell lymphoma who have progressive, persistent or recurrent disease subsequent to prior systemic therapies",NA,Neoplasms; Diseases of the skin,23.10.2007,2007,no,NA
sunlenca-epar-public-assessment-report_en.pdf,EMA/657007/2022,EMEA/H/C/005638/0000,Sunlenca,lenacapavir,Gilead Sciences Ireland Unlimited Company,Small molecule,solution for injection; film-coated tablets,subcutaneous; oral,approved,authorised,23.06.2022,2022,no,no,"Lenacapavir, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults with multidrug-resistant HIV-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.","Lenacapavir, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults with multidrug-resistant HIV-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.",Infectious and parasitic diseases,30.07.2021,2021,no,NA
reasanz-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/002817,Reasanz,serelaxin,Novartis Europharm Ltd,Peptides and proteins,Concentrate for solution for infusion,Intravenous,refused,NA,22.05.2014,2014,no,no,Reasanz is indicated for the treatment of acute heart failure and to reduce mortality in patients with acute heart failure.,NA,Diseases of the circulatory system,24.12.2012,2012,no,NA
staquis-epar-public-assessment-report_en.pdf,EMA/88816/2020,EMEA/H/C/004863/0000,Staquis,crisaborole,Pfizer Europe MA EEIG,Small molecule,ointment,cutaneous,approved,withdrawn,30.01.2020,2020,no,no,topical treatment of mild to moderate atopic dermatitis in patients 2 years of age and older,treatment of mild to moderate atopic dermatitis in adults and paediatric patients from 2 years of age with ≤ 40% body surface area (BSA) affected,Diseases of the skin,26.04.2018,2018,no,NA
evicel-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/000898,Evicel,human fibrinogen / human thrombin,OMRIX biopharmaceuticals S.A.,Biologics,fibrin sealant kit,epilesional,approved,withdrawn,24.07.2008,2008,no,yes,"Evicel is intended for clinical use as supportive treatment in surgery where standard surgical techniques are insufficient, for improvement of haemostasis and to promote sealing, or as suture support for haemostasis in vascular surgery.","Evicel is used as supportive treatment in surgery where standard surgical techniques are insufficient, for improvement of haemostasis. Evicel is also indicated as suture support for haemostasis in vascular surgery.",Diseases of the circulatory system,25.07.2007,2007,no,NA
pemetrexed-accord-epar-public-assessment-report_en.pdf,EMA/CHMP/828561/2015,EMEA/H/C/004072/0000,Pemetrexed Accord,Pemetrexed,Accord Healthcare Ltd,Small molecule,powder for concentrate for solution for infusion,intravenous,approved,authorised,19.11.2015,2015,no,no,Malignant pleural mesothelioma; Non-small cell lung cancer,Malignant pleural mesothelioma; Non-small cell lung cancer,Neoplasms; Diseases of the respiratory system,05.11.2014,2014,yes,NA
betaferon-epar-scientific-discussion_en.pdf,Not reported,Not reported,Betaferon,interferon beta-1b,Schering AG,Biologics,sterile lyophilised powder,subcutaneous,approved,authorised,30.11.1995,1995,no,yes,Reduction of frequency and severity of clinical relapses in relapsing-remitting multiple sclerosis,Reduction of frequency and severity of clinical relapses in relapsing-remitting multiple sclerosis; slowing progression of disease and reduction of frequency of clinical relapses in secondary progressive multiple sclerosis,Diseases of the nervous system,Not reported,Not reported,no,NA
inpremzia-epar-public-assessment-report_en.pdf,EMA/225453/2022,EMEA/H/C/005331/0000,Inpremzia,insulin human (rDNA),Baxter Holding B.V.,Biologics,solution for infusion,intravenous,approved,withdrawn,24.02.2022,2022,no,no,Treatment of patients with diabetes mellitus who require intravenous insulin administered by healthcare professionals for the maintenance of glucose homeostasis.,Treatment of diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",05.03.2020,2020,yes,CHMP
xigduo-epar-public-assessment-report_en.pdf,EMA/620505/2013,EMEA/H/C/002672/0000,Xigduo,DAPAGLIFLOZIN / METFORMIN,Bristol-Myers Squibb/AstraZeneca EEIG,Small molecule,Film-coated tablet,Oral,approved,authorised,21.11.2013,2013,no,no,Indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control,Indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control,"Endocrine, nutritional, and metabolic diseases",26.11.2012,2012,no,NA
docetaxel-sun-withdrawal-assessment-report_en.pdf,EMA/434463/2016,EMEA/H/C/004086/0000,Docetaxel SUN,docetaxel,Not reported,Small molecule,concentrate for solution for infusion,intravenous,withdrawn,withdrawn,07.06.2016,2016,no,no,"treatment of breast cancer, non-small cell lung cancer, prostate cancer, gastric adenocarcinoma, head and neck cancer",NA,Neoplasms,Not reported,Not reported,yes,NA
kentera-epar-scientific-discussion_en.pdf,Not reported,Not reported,Kentera,Oxybutynin,Not reported,Small molecule,Transdermal patch,Percutaneous,approved,authorised,Not reported,Not reported,no,no,"Treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and/or frequency","Treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and/or frequency",Diseases of the genitourinary system,Not reported,Not reported,no,NA
nerventra-epar-refusal-public-assessment-report_en.pdf,EMA/451905/2014,EMEA/H/C/002546,Nerventra,laquinimod,Teva Pharma GmbH,Small molecule,capsule,oral,refused,withdrawn,22.05.2014,2014,no,no,treatment of patients with relapsing remitting multiple sclerosis (RRMS),NA,Diseases of the nervous system,26.06.2012,2012,no,NA
aldara-epar-scientific-discussion_en.pdf,Not reported,Not reported,Aldara,Imiquimod,Not reported,Small molecule,Cream,Cutaneous,approved,authorised,Not reported,Not reported,no,no,Topical treatment of external genital and perianal warts (condyloma acuminata) in adult patients,Topical treatment of external genital and perianal warts (condyloma acuminata) in adult patients,Infectious and parasitic diseases; Diseases of the skin,Not reported,Not reported,no,NA
arixtra-epar-scientific-discussion_en.pdf,Not reported,Not reported,Arixtra,fondaparinux sodium,Not reported,Small molecule,solution for injection,subcutaneous,approved,authorised,Not reported,Not reported,no,yes,Prevention of Venous Thromboembolic Events (VTE) in patients undergoing major orthopaedic surgery of the lower limbs,Prevention of Venous Thromboembolic Events (VTE) in patients undergoing major orthopaedic surgery of the lower limbs,Diseases of the circulatory system,Not reported,Not reported,no,NA
oprymea-epar-public-assessment-report_en.pdf,EMA/441191/2008,EMEA/H/C/941,Oprymea,Pramipexole,"Krka, d.d., Novo mesto",Small molecule,tablet,oral,approved,authorised,26.06.2008,2008,no,no,"treatment of the signs and symptoms of idiopathic Parkinson's disease, alone or in combination with levodopa","treatment of the signs and symptoms of idiopathic Parkinson's disease, alone or in combination with levodopa",Diseases of the nervous system,31.10.2007,2007,yes,NA
okedi-epar-public-assessment-report_en.pdf,EMA/11233/2022,EMEA/H/C/005406/0000,Okedi,risperidone,"Laboratorios Farmacéuticos Rovi, S.A.",Small molecule,powder and solvent for prolonged-release suspension for injection,intramuscular,approved,authorised,16.12.2021,2021,no,no,for the treatment of schizophrenia in adults; for the treatment of schizophrenia in adult patients with acute exacerbation where psychotic symptoms are moderate to severe; for the treatment of schizophrenia in adult patients previously stabilised with antipsychotics,for the treatment of schizophrenia in adults,Mental and behavioural disorders,27.12.2019,2019,no,NA
mekinist-epar-public-assessment-report_en.pdf,EMA/258608/2014,EMEA/H/C/002643/0000,Mekinist,trametinib,Glaxo Group Ltd,Small molecule,Film-coated tablet,Oral,approved,authorised,25.04.2014,2014,no,no,Trametinib in combination with dabrafenib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.,Trametinib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.,Neoplasms; Diseases of the skin,07.02.2013,2013,no,NA
casgevy-epar-public-assessment-report_en.pdf,EMA/6332/2024,EMEA/H/C/005763/0000,Casgevy,exagamglogene autotemcel,Vertex Pharmaceuticals (Ireland) Limited,Cell and gene therapy,dispersion for infusion,intravenous,approved,authorised,14.12.2023,2023,yes,no,Treatment of transfusion-dependent β-thalassemia (TDT) and sickle cell disease (SCD) in patients 12 years of age and older,Treatment of transfusion-dependent β-thalassemia (TDT) and sickle cell disease (SCD) in patients 12 years of age and older,Diseases of the blood and blood-forming organs,29.12.2022,2022,no,NA
withdrawal-assessment-report-rotigotine-mylan-rotigotine_en.pdf,EMA/29245/2018,EMEA/H/C/004286/0000,Rotigotine Mylan,rotigotine,Mylan,Small molecule,transdermal patch,cutaneous,withdrawn,withdrawn,21.04.2017,2017,no,no,Parkinson’s disease and moderate-to-severe primary restless legs syndrome,NA,Diseases of the nervous system,Not reported,Not reported,yes,NA
zoledronic-acid-mylan-epar-public-assessment-report_en.pdf,EMA/550636/2012,EMEA/H/C/002482,Zoledronic acid Mylan,zoledronic acid,Mylan S.A.S.,Small molecule,concentrate for solution for infusion,intravenous,approved,authorised,21.06.2012,2012,no,no,Prevention of skeletal related events in patients with advanced malignancies involving bone; Treatment of tumour-induced hypercalcaemia (TIH),Prevention of skeletal related events in adult patients with advanced malignancies involving bone; Treatment of adult patients with tumour-induced hypercalcaemia (TIH),Neoplasms; Diseases of the musculoskeletal system and connective tissue,04.05.2011,2011,yes,Not reported
libmyris-epar-public-assessment-report_en.pdf,EMA/771818/2021,EMEA/H/C/005947/0000,Libmyris,adalimumab,STADA Arzneimittel AG,Biologics,solution for injection,subcutaneous,approved,authorised,16.09.2021,2021,no,no,Rheumatoid arthritis; Juvenile idiopathic arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Hidradenitis suppurativa; Crohn’s disease; Ulcerative colitis; Uveitis,Rheumatoid arthritis; Juvenile idiopathic arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Hidradenitis suppurativa; Crohn’s disease; Ulcerative colitis; Uveitis,Diseases of the musculoskeletal system and connective tissue; Diseases of the skin; Diseases of the digestive system; Diseases of the eye and adnexa,11.09.2020,2020,no,NA
elonva-epar-public-assessment-report_en.pdf,EMA/CHMP/802299/2009,EMEA/H/C/1106,Elonva,corifollitropin alfa,N.V. Organon,Biologics,solution for injection,subcutaneous,approved,authorised,19.11.2009,2009,no,no,Controlled Ovarian Stimulation (COS) for the development of multiple follicles and pregnancy in women participating in an Assisted Reproductive Technology (ART) program.,Controlled Ovarian Stimulation (COS) in combination with a GnRH antagonist for the development of multiple follicles in women participating in an Assisted Reproductive Technology (ART) program.,"Endocrine, nutritional, and metabolic diseases",04.12.2008,2008,no,NA
clopidogrel-krka-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/001056,Clopidogrel Krka,clopidogrel,"Krka, d.d., Novo mesto",Small molecule,film coated tablets,oral,approved,authorised,25.06.2009,2009,no,no,Prevention of atherothrombotic events in adults,Prevention of atherothrombotic events in adults,Diseases of the circulatory system,25.07.2008,2008,no,NA
sutent-epar-scientific-discussion_en.pdf,EMA/000000/2006,EMEA/H/C/000000,SUTENT,sunitinib malate,Pfizer,Small molecule,hard capsules,oral,approved,authorised,Not reported,2006,yes,no,"treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour after failure of imatinib mesylate treatment due to resistance or intolerance, and in the treatment of advanced and/or metastatic metastatic renal cell carcinoma after failure of cytokine-based therapy","treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour after failure of imatinib mesylate treatment due to resistance or intolerance, and in the treatment of advanced and/or metastatic metastatic renal cell carcinoma after failure of cytokine-based therapy",Neoplasms,Not reported,Not reported,no,NA
cholib-epar-public-assessment-report_en.pdf,EMA/308856/2013,EMEA/H/C/002559/0000,Cholib,fenofibrate / simvastatine,Abbott Healthcare Products Ltd.,Small molecule,film-coated tablets,oral,approved,authorised,27.06.2013,2013,no,no,Cholib is indicated in adults as adjunctive therapy to diet and exercise in mixed dyslipidaemia where use of a combination product is appropriate to reduce triglycerides and increase HDL-cholesterol levels in patients at high cardiovascular risk who are not adequately controlled with a statin alone.,Cholib is indicated as adjunctive therapy to diet and exercise in high cardiovascular risk adult patients with mixed dyslipidaemia to reduce triglycerides and increase HDL-C levels when LDL-C levels are adequately controlled with the corresponding dose of simvastatin monotherapy.,"Diseases of the circulatory system; Endocrine, nutritional, and metabolic diseases",21.12.2011,2011,no,NA
zeffix-epar-scientific-discussion_en.pdf,Not reported,Not reported,Zeffix,Lamivudine,Not reported,Small molecule,film-coated tablet; oral solution,oral,approved,authorised,Not reported,Not reported,no,yes,Treatment of adult patients with chronic hepatitis B and evidence of viral replication with decompensated liver disease or with histologically documented active liver inflammation and/or fibrosis.,Treatment of adult patients with chronic hepatitis B and evidence of viral replication with decompensated liver disease or with histologically documented active liver inflammation and/or fibrosis.,Infectious and parasitic diseases,Not reported,Not reported,yes,Not reported
alofisel-epar-public-assessment-report_en.pdf,EMA/64055/2018,EMEA/H/C/004258/0000,Alofisel,darvadstrocel,"TIGENIX, S.A.U.",Cell and gene therapy,suspension for injection,intralesional,approved,authorised,14.12.2017,2017,yes,no,"treatment of complex perianal fistula(s) in adult patients with non-active/mildly active luminal Crohn’s disease, when fistula(s) have shown an inadequate response to at least one conventional or biologic therapy","treatment of complex perianal fistula(s) in adult patients with non-active/mildly active luminal Crohn’s disease, when fistula(s) have shown an inadequate response to at least one conventional or biologic therapy",Diseases of the digestive system,02.03.2016,2016,no,NA
mircera-epar-scientific-discussion_en.pdf,EMA/30329/2007,EMEA/H/C/000739,MIRCERA,methoxy polyethylene glycol-epoetin beta,Roche,Biologics,solution for intravenous or subcutaneous administration,intravenous; subcutaneous,approved,authorised,Not reported,2007,no,no,treatment of anaemia associated with chronic kidney disease (CKD),treatment of anaemia associated with chronic kidney disease (CKD),Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,Not reported,Not reported,no,NA
alkindi-epar-public-assessment-report_en.pdf,EMA/4145/2018,EMEA/H/C/004416/0000,Alkindi,hydrocortisone,DIURNAL LTD,Small molecule,granules in capsules for opening,oral,approved,authorised,14.12.2017,2017,no,yes,"Alkindi is indicated in neonates, infants and children less than 6 years for use as replacement therapy in primary, secondary, or acute adrenal insufficiency.","Replacement therapy of adrenal insufficiency in infants, children and adolescents (from birth to < 18 years old).","Endocrine, nutritional, and metabolic diseases",25.11.2016,2016,yes,Not reported
